    0.000048    0.000291    0.000001
    0.000096    0.000587    0.000001
    0.000144    0.000886    0.000002
    0.000191    0.001185    0.000003
    0.000239    0.001482    0.000004
    0.000287    0.001783    0.000004
    0.000335    0.002090    0.000005
    0.000383    0.002373    0.000006
    0.000431    0.002665    0.000007
    0.000479    0.002956    0.000009
    0.000527    0.003254    0.000010
    0.000574    0.003551    0.000012
    0.000622    0.003850    0.000013
    0.000670    0.004162    0.000016
    0.000718    0.004432    0.000018
    0.000766    0.004669    0.000021
    0.000814    0.004907    0.000026
    0.000862    0.005108    0.000032
    0.000909    0.005360    0.000047
